workspace,bucket,field_path,source_value
bba,webhook_leadSourceExpr_aggregate,,walk-in
bba,webhook_leadSourceExpr_aggregate,,fb
bba,webhook_leadSourceExpr_aggregate,,perplexity
bba,webhook_leadSourceExpr_aggregate,,blank
bba,webhook_leadSourceExpr_aggregate,,websitepyq
bba,webhook_leadSourceExpr_aggregate,,justdial
bba,webhook_leadSourceExpr_aggregate,,wa
bba,webhook_leadSourceExpr_aggregate,,api
bba,webhook_leadSourceExpr_aggregate,,other
bba,webhook_leadSourceExpr_aggregate,,chatgpt.com?utm_source=web
bba,webhook_leadSourceExpr_aggregate,,blog
bba,webhook_leadSourceExpr_aggregate,,web
bba,webhook_leadSourceExpr_aggregate,,collegedunia
bba,webhook_leadSourceExpr_aggregate,,kollegeapply
bba,webhook_leadSourceExpr_aggregate,,default_source
bba,webhook_leadSourceExpr_aggregate,,inhouse social media
bba,crm_distinct_field,latest_traffic_channel,Chat
bba,crm_distinct_field,latest_traffic_channel,Direct
bba,crm_distinct_field,latest_traffic_channel,Lets Upgrade
bba,crm_distinct_field,latest_traffic_channel,Offline
bba,crm_distinct_field,latest_traffic_channel,Organic
bba,crm_distinct_field,latest_traffic_channel,Other Campaigns
bba,crm_distinct_field,latest_traffic_channel,Paid Ads
bba,crm_distinct_field,latest_traffic_channel,Previous Year Paper
bba,crm_distinct_field,latest_traffic_channel,Publisher Campaign
bba,crm_distinct_field,latest_traffic_channel,Referral
bba,crm_distinct_field,latest_traffic_channel,Social
bba,crm_distinct_field,primary_traffic_channel,Chat
bba,crm_distinct_field,primary_traffic_channel,Direct
bba,crm_distinct_field,primary_traffic_channel,Lets Upgrade
bba,crm_distinct_field,primary_traffic_channel,Offline
bba,crm_distinct_field,primary_traffic_channel,Organic
bba,crm_distinct_field,primary_traffic_channel,Other Campaigns
bba,crm_distinct_field,primary_traffic_channel,Paid Ads
bba,crm_distinct_field,primary_traffic_channel,Previous Year Paper
bba,crm_distinct_field,primary_traffic_channel,Publisher Campaign
bba,crm_distinct_field,primary_traffic_channel,Referral
bba,crm_distinct_field,primary_traffic_channel,Social
bba,crm_distinct_field,publisher_name,Agents
bba,crm_distinct_field,publisher_name,BTL
bba,crm_distinct_field,publisher_name,Careers360
bba,crm_distinct_field,publisher_name,Chat
bba,crm_distinct_field,publisher_name,Chatgpt
bba,crm_distinct_field,publisher_name,Collegedunia
bba,crm_distinct_field,publisher_name,Direct
bba,crm_distinct_field,publisher_name,Facebook
bba,crm_distinct_field,publisher_name,Google Ads
bba,crm_distinct_field,publisher_name,Kollegeapply
bba,crm_distinct_field,publisher_name,Lets Upgrade
bba,crm_distinct_field,publisher_name,Not Mapped
bba,crm_distinct_field,publisher_name,Organic
bba,crm_distinct_field,publisher_name,Others
bba,crm_distinct_field,publisher_name,Previous Year Paper
bba,crm_distinct_field,publisher_name,Referral
bba,crm_distinct_field,publisher_name,Shiksha
bba,crm_distinct_field,publisher_name,Social
bba,crm_distinct_field,publisher_name,Walk In
bba,crm_distinct_field,publisher_name,Webinar USA SA
bba,crm_distinct_field,publisher_name,Website
